,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
25988,draveda01,1987,2,SFN,NL,7,5,18,18,4,3,0,337,115,40,8,33,78,0.272,3.2,3.0,1,2.0,0,466.0,0,43,5.0,3.0,12.0,112.33
25989,drummti01,1987,1,PIT,NL,0,0,6,0,0,0,0,18,5,3,0,3,5,0.227,4.5,0.0,1,0.0,0,26.0,2,3,1.0,0.0,0.0,6.0
25990,dunnemi01,1987,1,PIT,NL,13,6,23,23,5,1,0,490,143,55,10,68,72,0.24,3.03,8.0,6,1.0,4,680.0,0,66,11.0,4.0,22.0,163.33
25991,easlelo01,1987,1,PIT,NL,1,1,17,0,0,0,1,79,23,16,5,17,21,0.242,5.47,4.0,2,1.0,1,118.0,7,17,3.0,2.0,1.0,26.33
25992,easteja01,1987,1,CLE,AL,1,1,16,0,0,0,0,95,26,16,4,13,22,0.218,4.55,1.0,5,1.0,0,137.0,1,17,2.0,2.0,1.0,31.67
25993,eckerde01,1987,1,OAK,AL,6,8,54,2,0,0,16,347,99,39,11,17,113,0.228,3.03,3.0,1,3.0,0,460.0,33,41,3.0,3.0,6.0,115.67
25994,edensto01,1987,1,NYN,NL,0,0,2,2,0,0,0,24,15,6,2,4,4,0.417,6.75,0.0,2,0.0,0,42.0,0,6,2.0,0.0,0.0,8.0
25995,eichhma01,1987,1,TOR,AL,10,6,89,0,0,0,4,383,110,45,14,52,96,0.234,3.17,13.0,3,6.0,1,540.0,27,47,7.0,4.0,7.0,127.67
25996,farrejo03,1987,1,CLE,AL,5,1,10,9,1,0,0,207,68,26,7,22,28,0.256,3.39,1.0,1,5.0,1,297.0,1,29,3.0,1.0,5.0,69.0
25997,farrst01,1987,1,KCA,AL,4,3,47,0,0,0,1,273,97,42,9,44,88,0.271,4.15,4.0,2,2.0,0,408.0,19,47,0.0,3.0,5.0,91.0
25998,fernasi01,1987,1,NYN,NL,12,8,28,27,3,1,0,468,130,66,16,67,134,0.224,3.81,8.0,2,8.0,0,665.0,0,75,3.0,6.0,2.0,156.0
25999,filsope01,1987,1,NYA,AL,1,0,7,2,0,0,0,66,26,8,2,9,10,0.299,3.27,1.0,0,1.0,0,99.0,3,10,2.0,0.0,1.0,22.0
26000,finlech01,1987,1,CAL,AL,2,7,35,3,0,0,0,272,102,47,7,43,63,0.287,4.67,3.0,4,3.0,3,405.0,17,54,2.0,2.0,8.0,90.67
26001,fischje01,1987,1,MON,NL,0,1,4,2,0,0,0,41,21,13,3,5,6,0.362,8.56,0.0,3,0.0,0,66.0,0,14,1.0,2.0,1.0,13.67
26002,fishebr01,1987,1,PIT,NL,11,9,37,26,6,3,0,556,185,93,27,72,117,0.262,4.52,7.0,3,4.0,3,792.0,1,99,6.0,5.0,10.0,185.33
26003,flanami01,1987,1,BAL,AL,3,6,16,16,4,0,0,284,102,52,9,36,50,0.278,4.94,1.0,1,0.0,0,410.0,0,57,6.0,1.0,8.0,94.67
26004,flanami01,1987,2,TOR,AL,3,2,7,7,0,0,0,148,46,13,3,15,43,0.237,2.37,3.0,2,0.0,0,209.0,0,15,0.0,0.0,2.0,49.33
26005,forscbo01,1987,1,SLN,NL,11,7,33,30,2,1,0,537,189,86,15,45,89,0.273,4.32,4.0,2,4.0,1,755.0,1,90,7.0,6.0,11.0,179.0
26006,francjo01,1987,1,CIN,NL,8,5,68,0,0,0,32,246,76,23,6,27,61,0.245,2.52,6.0,1,0.0,0,344.0,60,26,5.0,2.0,8.0,82.0
26007,frasewi01,1987,1,CAL,AL,10,10,36,23,5,1,1,530,160,77,26,63,106,0.24,3.92,3.0,12,6.0,1,744.0,6,85,5.0,4.0,10.0,176.67
26008,frazige01,1987,1,MIN,AL,5,5,54,0,0,0,2,244,77,45,9,51,58,0.258,4.98,4.0,6,2.0,1,363.0,26,49,1.0,10.0,7.0,81.33
26009,frohwto01,1987,1,PHI,NL,1,0,10,0,0,0,0,33,12,0,0,2,9,0.293,0.0,0.0,0,0.0,0,43.0,2,0,0.0,0.0,3.0,11.0
26010,fultobi01,1987,1,NYA,AL,1,0,3,0,0,0,0,14,9,6,4,1,2,0.409,11.57,0.0,0,1.0,0,24.0,1,6,0.0,0.0,1.0,4.67
26011,garbege01,1987,1,ATL,NL,8,10,49,0,0,0,10,208,87,34,7,28,48,0.311,4.41,10.0,4,1.0,0,320.0,43,39,8.0,3.0,7.0,69.33
26012,garbege01,1987,2,KCA,AL,0,0,13,0,0,0,8,43,13,4,1,1,3,0.245,2.51,0.0,0,1.0,0,55.0,12,5,0.0,0.0,2.0,14.33
26013,garcimi02,1987,1,CAL,AL,0,0,1,0,0,0,0,5,3,3,0,3,0,0.375,16.2,0.0,1,0.0,0,11.0,1,4,0.0,0.0,0.0,1.67
26014,garcimi02,1987,2,PIT,NL,0,0,1,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,1,0,0.0,0.0,0.0,0.67
26015,gardnwe01,1987,1,BOS,AL,3,6,49,1,0,0,10,269,98,54,17,42,70,0.279,5.42,7.0,4,2.0,0,401.0,29,55,4.0,2.0,8.0,89.67
26016,garresc01,1987,1,SFN,NL,11,7,64,0,0,0,12,319,70,38,10,55,127,0.192,3.22,4.0,5,0.0,1,428.0,43,41,7.0,2.0,10.0,106.33
26017,gibsobo02,1987,1,NYN,NL,0,0,1,0,0,0,0,3,0,0,0,1,2,0.0,0.0,0.0,0,0.0,0,4.0,0,0,0.0,0.0,0.0,1.0
26018,gideobr01,1987,1,PIT,NL,1,5,29,0,0,0,3,110,34,19,6,10,31,0.243,4.66,3.0,2,1.0,0,153.0,17,22,2.0,0.0,3.0,36.67
26019,glavito02,1987,1,ATL,NL,2,4,9,9,0,0,0,151,55,31,5,33,20,0.279,5.54,4.0,1,3.0,1,238.0,0,34,2.0,3.0,1.0,50.33
26020,gleatje01,1987,1,KCA,AL,4,4,48,0,0,0,5,152,38,24,4,28,44,0.216,4.26,3.0,4,0.0,1,210.0,22,28,3.0,3.0,3.0,50.67
26021,goodedw01,1987,1,NYN,NL,15,7,25,25,7,3,0,539,162,64,11,53,148,0.244,3.21,2.0,1,2.0,1,730.0,0,68,5.0,5.0,19.0,179.67
26022,gordodo01,1987,1,TOR,AL,0,0,5,0,0,0,0,33,8,5,2,3,3,0.2,4.09,0.0,0,0.0,0,43.0,2,5,0.0,0.0,0.0,11.0
