,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,WAR
57,suttebr01,68.0,71.0,661.0,0.0,0.0,300.0,3126.0,879.0,328.0,77.0,309.0,861.0,2.786,83.0,37.0,13.0,8.0,4251.0,512.0,370.0,75.0,25.0,85.0,12,1,BBWAA,1042.0,2.833013435700576,24.450000000000003
58,gossari01,124.0,107.0,1002.0,37.0,16.0,310.0,5428.0,1497.0,605.0,119.0,732.0,1502.0,5.366000000000001,90.0,63.0,47.0,5.0,7507.0,681.0,670.0,106.0,67.0,,22,1,BBWAA,1809.3333333333333,3.0093957258658808,41.62
59,blylebe01,287.0,250.0,692.0,685.0,242.0,0.0,14910.0,4632.0,1830.0,430.0,1322.0,3701.0,5.968999999999999,71.0,114.0,155.0,19.0,20491.0,3.0,2029.0,176.0,121.0,,22,1,BBWAA,4970.0,3.3138832997987926,96.13
60,maddugr01,355.0,227.0,744.0,740.0,109.0,0.0,15025.0,4726.0,1756.0,353.0,999.0,3371.0,6.382000000000001,177.0,70.0,137.0,28.0,20421.0,3.0,1981.0,274.0,119.0,422.0,23,1,BBWAA,5008.333333333333,3.1555407653910152,104.78
61,glavito02,305.0,203.0,682.0,682.0,56.0,0.0,13240.0,4298.0,1734.0,356.0,1500.0,2607.0,5.715,145.0,65.0,66.0,7.0,18604.0,0.0,1900.0,228.0,113.0,420.0,22,1,BBWAA,4413.333333333333,3.536102719033233,73.92999999999999
62,johnsra05,303.0,166.0,618.0,603.0,100.0,2.0,12406.0,3346.0,1513.0,411.0,1497.0,4875.0,5.404,37.0,109.0,190.0,33.0,17067.0,7.0,1703.0,131.0,89.0,251.0,22,1,BBWAA,4135.333333333333,3.292842173142028,103.52
63,martipe02,219.0,100.0,476.0,409.0,46.0,3.0,8482.0,2221.0,919.0,239.0,760.0,3154.0,3.978,30.0,62.0,141.0,6.0,11394.0,23.0,1006.0,74.0,63.0,148.0,18,1,BBWAA,2827.3333333333335,2.925371374675784,86.08
64,smoltjo01,213.0,155.0,723.0,481.0,53.0,154.0,10419.0,3074.0,1284.0,288.0,1010.0,3084.0,5.295,84.0,145.0,57.0,16.0,14271.0,204.0,1391.0,139.0,87.0,244.0,21,1,BBWAA,3473.0,3.3273826662827526,66.4
65,hoffmtr01,61.0,75.0,1035.0,0.0,0.0,601.0,3268.0,846.0,347.0,100.0,307.0,1133.0,4.04,58.0,49.0,9.0,0.0,4388.0,856.0,378.0,32.0,30.0,60.0,18,1,BBWAA,1089.3333333333333,2.8668910648714814,28.11
66,morrija02,254.0,186.0,549.0,527.0,175.0,0.0,11472.0,3567.0,1657.0,389.0,1390.0,2478.0,4.492,99.0,206.0,58.0,27.0,16120.0,10.0,1815.0,113.0,114.0,299.0,18,1,Veterans,3824.0,3.8998430962343096,43.61
67,martide01,245.0,193.0,692.0,562.0,122.0,8.0,11999.0,3897.0,1643.0,372.0,1165.0,2149.0,6.353,71.0,83.0,122.0,30.0,16754.0,51.0,1835.0,120.0,109.0,332.0,23,0,,3999.6666666666665,3.6970580881740145,49.26
