,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
540,millwke01,169,152,451,443,22,0,8161,2770,1243,296,843,2083,4.245,46.0,67,74.0,4,11616.0,3,1357,105.0,53.0,211.0,16,0.0,0,30.71,1997 - 2012,Kevin Millwood,2,0.0,2720.3333333333335,4.112363680921455
542,tomkobr01,100,103,397,266,13,2,5448,1898,939,255,582,1209,4.347,52.0,63,37.0,3,7824.0,39,1011,82.0,56.0,130.0,14,0.0,0,10.92,1997 - 2011,Brett Tomko,2,0.0,1816.0,4.65363436123348
543,chenbr01,82,81,400,227,4,1,4596,1578,786,257,546,1140,6.173,40.0,30,45.0,3,6619.0,56,849,45.0,53.0,92.0,17,0.0,0,10.77,1998 - 2015,Bruce Chen,2,0.0,1532.0,4.617493472584856
544,dempsry01,132,133,579,351,11,87,7161,2347,1154,267,1071,2075,4.673,47.0,80,91.0,3,10412.0,186,1250,100.0,64.0,209.0,16,0.0,0,22.25,1998 - 2013,Ryan Dempster,2,0.0,2387.0,4.351068286552158
545,hallaro01,203,105,416,390,67,1,8248,2646,1034,236,592,2117,4.027000000000001,28.0,56,81.0,9,11287.0,6,1135,69.0,61.0,249.0,16,1.0,0,65.38,1998 - 2013,Roy Halladay,2,3.0,2749.3333333333335,3.3848205625606207
547,pavanca01,108,107,302,284,17,0,5366,1971,873,200,425,1091,4.606999999999999,41.0,26,84.0,16,7643.0,3,955,58.0,58.0,153.0,14,0.0,0,16.62,1998 - 2012,Carl Pavano,2,0.0,1788.6666666666667,4.3926574729780095
548,vazquja01,165,160,450,443,28,0,8520,2784,1331,373,763,2536,3.576,58.0,76,88.0,4,11935.0,5,1431,103.0,66.0,195.0,14,0.0,0,43.39,1998 - 2011,Javier Vazquez,2,0.0,2840.0,4.217957746478874
549,woodke02,86,75,446,178,11,63,4140,1083,563,148,666,1582,3.3460000000000005,22.0,64,99.0,6,5863.0,138,599,54.0,43.0,83.0,14,0.0,0,26.76,1998 - 2012,Kerry Wood,2,0.0,1380.0,3.6717391304347826
550,burneaj01,164,157,435,430,24,0,8194,2519,1210,263,1100,2513,4.1530000000000005,35.0,161,143.0,6,11665.0,1,1328,85.0,88.0,241.0,17,0.0,0,0.0,1999 - 2015,A. J. Burnett,2,0.0,2731.3333333333335,3.9870637051501094
552,davisdo02,92,108,306,286,7,0,5147,1813,846,180,783,1279,4.571,28.0,63,44.0,10,7597.0,4,921,100.0,45.0,173.0,13,0.0,0,21.47,1999 - 2011,Doug Davis,2,0.0,1715.6666666666667,4.437925004857198
556,garcifr02,156,108,376,357,12,0,6792,2243,1045,285,708,1621,4.373,42.0,95,67.0,9,9595.0,13,1101,59.0,62.0,190.0,15,0.0,0,0.0,1999 - 2013,Freddy Garcia,2,0.0,2264.0,4.154151943462898
557,hudsoti01,222,133,482,479,26,0,9380,2957,1213,248,917,2080,4.3050000000000015,84.0,84,124.0,6,13005.0,0,1319,113.0,64.0,335.0,17,0.0,0,56.55,1999 - 2015,Tim Hudson,2,1.0,3126.6666666666665,3.491577825159915
558,lillyte01,130,113,356,331,5,0,5948,1827,913,293,661,1681,4.153,35.0,58,63.0,29,8390.0,5,974,68.0,47.0,105.0,15,0.0,0,29.17,1999 - 2013,Ted Lilly,2,0.0,1982.6666666666667,4.144418291862811
561,padilvi01,108,91,386,237,4,6,4714,1612,754,181,551,1121,4.47,45.0,37,109.0,12,6808.0,37,823,63.0,39.0,167.0,14,0.0,0,11.98,1999 - 2012,Vicente Padilla,2,0.0,1571.3333333333333,4.318625371234621
564,wolfra02,133,125,390,379,13,1,6985,2310,1097,296,831,1814,4.872,39.0,44,103.0,3,9977.0,3,1173,113.0,61.0,198.0,16,0.0,0,19.54,1999 - 2015,Randy Wolf,2,0.0,2328.3333333333335,4.240372226198998
565,buehrma01,214,160,518,493,33,0,9850,3472,1391,361,734,1870,4.375,49.0,27,79.0,16,13705.0,6,1542,108.0,91.0,362.0,16,0.0,0,60.01,2000 - 2015,Mark Buehrle,2,0.0,3283.3333333333335,3.8128934010152284
568,garlajo01,136,125,365,342,11,1,6454,2260,1045,263,723,1156,3.857,39.0,50,63.0,1,9197.0,9,1149,70.0,72.0,250.0,13,0.0,0,22.42,2000 - 2013,Jon Garland,2,0.0,2151.3333333333335,4.371707468236752
