,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster
109,hevinjo02,76,48,430,40,17,63,3116,1136,450,64,380,429,3.93,0.0,14,24.0,3,4579.0,232,559,0.0,0.0,0.0,13,0.0,0,9.58,1930 - 1945,Joe Heving,1
110,warnelo01,192,121,445,343,192,13,8347,2726,984,175,739,1140,4.13,0.0,50,27.0,1,11608.0,65,1164,0.0,0.0,0.0,15,0.0,0,42.11,1930 - 1945,Lon Warneke,1
111,derripa01,223,212,579,445,251,29,10935,3912,1401,158,761,1507,4.38,0.0,50,32.0,2,15391.0,98,1652,0.0,0.0,0.0,15,0.0,0,38.96,1931 - 1945,Paul Derringer,1
112,mungova01,120,115,364,259,123,16,6339,1957,815,89,868,1242,3.31,0.0,52,33.0,5,9033.0,61,957,0.0,0.0,0.0,14,0.0,0,30.75,1931 - 1945,Van Mungo,1
113,schumha02,158,121,391,329,138,7,7447,2424,926,139,902,906,3.39,0.0,54,24.0,0,10571.0,38,1080,0.0,0.0,0.0,13,0.0,0,26.94,1931 - 1946,Hal Schumacher,1
114,allenjo02,142,75,352,241,109,18,5851,1849,813,104,738,1070,3.67,0.0,68,38.0,5,8292.0,68,924,0.0,0.0,0.0,13,0.0,0,27.88,1932 - 1944,Johnny Allen,1
115,murphjo04,93,53,415,40,17,107,3135,985,406,52,444,378,3.33,0.0,15,5.0,0,4471.0,293,464,0.0,0.0,0.0,13,0.0,0,15.53,1932 - 1947,Johnny Murphy,1
116,sewelri01,143,97,390,243,137,15,6358,2101,819,116,748,636,3.4399999999999995,0.0,30,23.0,2,9101.0,88,983,0.0,0.0,0.0,13,0.0,0,25.13,1932 - 1949,Rip Sewell,1
117,dietrbi01,108,128,366,253,92,11,6011,2117,997,128,890,660,4.89,0.0,44,22.0,4,8874.0,72,1146,0.0,0.0,0.0,16,0.0,0,7.5,1933 - 1948,Bill Dietrich,1
118,leeth01,117,124,374,272,155,10,6994,2327,921,121,838,937,4.11,0.0,24,43.0,7,9999.0,50,1105,0.0,0.0,0.0,16,0.0,0,34.99,1933 - 1948,Thornton Lee,1
119,leonadu02,191,181,640,374,192,44,9655,3304,1162,158,737,1170,5.130000000000002,0.0,97,56.0,6,13487.0,171,1432,0.0,0.0,0.0,20,0.0,0,51.71,1933 - 1953,Dutch Leonard,1
120,rowesc01,158,101,382,278,137,12,6658,2332,955,132,558,913,4.2700000000000005,0.0,22,27.0,5,9398.0,74,1075,0.0,0.0,0.0,15,0.0,0,34.33,1933 - 1949,Schoolboy Rowe,1
121,bentoal01,98,88,455,167,58,66,5065,1672,686,106,733,697,3.61,0.0,36,15.0,2,7342.0,171,831,0.0,0.0,0.0,14,0.0,0,24.76,1934 - 1952,Al Benton,1
122,daviscu01,158,131,429,281,141,33,6975,2459,884,142,479,684,4.15,0.0,20,47.0,2,9752.0,111,1033,0.0,0.0,0.0,13,0.0,0,37.91,1934 - 1946,Curt Davis,1
123,galehde01,109,118,375,258,100,13,6012,2148,885,104,735,851,4.78,0.0,29,18.0,3,8688.0,67,999,0.0,0.0,0.0,15,0.0,0,26.73,1934 - 1949,Denny Galehouse,1
124,leebi02,169,157,462,378,182,13,8592,2953,1127,138,893,998,4.26,0.0,54,24.0,5,12187.0,46,1304,0.0,0.0,0.0,14,0.0,0,32.53,1934 - 1947,Bill Lee,1
125,osterfr01,114,115,390,246,113,15,6200,2170,917,105,835,774,4.45,0.0,60,21.0,1,9116.0,86,1062,0.0,0.0,0.0,15,0.0,0,34.31,1934 - 1948,Fritz Ostermueller,1
126,waltebu01,198,160,428,398,242,4,9314,2990,1139,154,1121,1107,4.43,0.0,63,51.0,6,13140.0,18,1343,0.0,0.0,0.0,16,0.0,0,46.45,1931 - 1950,Bucky Walters,1
127,gumbeha01,143,113,508,235,96,48,6468,2186,882,121,721,709,4.870000000000001,0.0,40,23.0,3,9217.0,180,1012,0.0,0.0,0.0,15,0.0,0,17.54,1935 - 1950,Harry Gumbert,1
