,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
3282,overmst01,58,67,266,137,50,10,3392,1259,498,56,325,301,3.1300000000000003,,12,11.0,1,4906.0,68,569,,,,10,0.0,,8.09
3283,petersi01,2,0,3,0,0,0,30,15,3,0,3,0,0.34,,1,1.0,0,48.0,0,3,,,,1,0.0,,0.28
3284,rescixa01,19,22,129,21,7,16,1006,366,154,21,113,115,0.8400000000000001,,3,4.0,0,1456.0,60,178,,,,3,0.0,,0.56
3285,sanfofr01,37,55,164,98,26,6,2232,768,368,67,391,285,2.27,,10,3.0,1,3306.0,27,405,,,,7,0.0,,5.33
3286,scheeow01,0,0,6,0,0,1,27,16,7,0,4,5,0.38,,0,0.0,0,46.0,3,7,,,,1,0.0,,-0.39
3287,scheica01,45,65,267,107,47,17,3212,1130,581,99,493,290,3.4399999999999995,,35,30.0,6,4714.0,125,634,,,,11,0.0,,0.15999999999999992
3288,sewarfr01,3,3,26,8,3,0,262,110,50,8,37,18,0.62,,4,2.0,2,402.0,9,54,,,,2,0.0,,-0.39
3289,signewa01,2,1,10,2,1,1,99,35,11,4,9,5,0.49,,1,0.0,0,152.0,3,14,,,,2,0.0,,0.27999999999999997
3290,speerfl01,0,0,3,0,0,0,9,5,3,0,2,2,0.75,,0,0.0,0,15.0,3,3,,,,2,0.0,,-0.13
3291,stonero01,0,1,13,0,0,0,74,23,12,0,8,11,0.23,,0,0.0,0,105.0,5,14,,,,1,0.0,,-0.21
3292,talcoro01,0,0,1,0,0,0,2,1,2,0,2,0,0.33,,0,0.0,0,5.0,0,2,,,,1,0.0,,-0.16
3293,trinkke01,21,29,216,19,3,21,1306,442,181,23,208,130,1.32,,8,10.0,1,1907.0,103,212,,,,5,0.0,,4.16
3294,webbbi02,0,0,1,0,0,0,3,1,1,1,1,0,0.33,,0,0.0,0,4.0,1,1,,,,1,0.0,,-0.03
3295,wenslbu01,16,13,41,32,19,1,830,222,80,11,95,125,0.7,,2,1.0,1,1128.0,5,99,,,,3,0.0,,3.04
3296,woodspi01,13,21,85,44,10,3,1136,388,167,13,206,124,0.8,,9,8.0,1,1675.0,25,190,,,,3,0.0,,-0.020000000000000018
3297,barthbo01,1,1,7,1,0,0,29,13,5,2,5,4,0.31,,0,0.0,0,47.0,5,9,,,,1,0.0,,-0.4
3298,bevenbi01,40,36,96,84,46,0,1927,598,220,40,236,289,1.01,,4,4.0,1,2692.0,8,253,,,,4,0.0,,6.4
3299,bonnebi01,0,1,2,1,0,0,21,11,6,0,5,1,0.36,,3,2.0,0,38.0,0,6,,,,1,0.0,,-0.28
3300,brancra01,88,68,322,188,71,19,4452,1372,625,149,663,829,3.4000000000000004,,44,31.0,6,6372.0,74,702,,,,12,0.0,,16.47
3301,breweja01,9,10,43,28,10,0,650,231,105,22,76,73,0.8700000000000001,,8,6.0,0,952.0,7,120,,,,3,0.0,,0.5200000000000001
3302,brondke01,0,1,7,2,1,0,58,27,18,3,8,1,0.32,,0,0.0,0,92.0,2,18,,,,1,0.0,,-0.5
3303,cartear01,13,11,46,24,11,3,586,197,59,3,53,37,0.53,,1,5.0,0,826.0,15,75,,,,2,0.0,,2.58
3304,cecilre01,6,10,18,16,5,0,318,118,61,9,60,63,0.54,,2,1.0,1,498.0,1,81,,,,2,0.0,,-2.44
